timestamp,user_id,session_id,domain,action_type,entity_id,response_time_ms,device_type,account_type,transaction_type,channel,risk_score,amount_involved,branch_code
2025-10-19 21:03:39,U011,S0026,banking,inquiry,ban_261,349,desktop,savings,credit,mobile_app,10,150107,DL33
2025-10-09 07:42:39,U008,S0033,banking,view_transaction,ban_155,135,mobile,credit,credit,net_banking,7,137385,DL33
2025-10-18 02:57:39,U029,S0369,banking,inquiry,ban_178,300,mobile,credit,inquiry,ATM,9,196578,MB98
2025-11-13 07:53:39,U009,S0042,banking,inquiry,ban_39,380,tablet,current,credit,mobile_app,1,165423,MB98
2025-10-14 07:31:39,U002,S0303,banking,view_transaction,ban_245,52,mobile,current,credit,net_banking,5,65187,MB98
2025-11-12 09:43:39,U030,S0120,banking,check_balance,ban_222,382,desktop,savings,debit,ATM,3,29185,MB98
2025-10-18 18:34:39,U009,S0145,banking,inquiry,ban_133,109,mobile,credit,debit,mobile_app,2,7607,MB98
2025-10-15 13:08:39,U014,S0022,banking,view_transaction,ban_190,385,tablet,credit,credit,mobile_app,5,15855,BN12
2025-09-25 12:32:39,U014,S0125,banking,fund_transfer,ban_60,241,desktop,credit,inquiry,ATM,6,97064,BN12
2025-10-15 16:15:39,U026,S0042,banking,fund_transfer,ban_39,100,mobile,savings,credit,net_banking,8,63446,DL33
2025-09-25 19:24:39,U025,S0283,banking,inquiry,ban_233,382,tablet,credit,inquiry,mobile_app,1,129936,DL33
2025-10-27 21:51:39,U004,S0422,banking,fund_transfer,ban_169,299,mobile,current,credit,mobile_app,10,105850,BN12
2025-10-24 22:05:39,U019,S0336,banking,inquiry,ban_245,65,mobile,current,credit,ATM,7,100875,DL33
2025-09-15 21:08:39,U009,S0329,banking,fund_transfer,ban_6,165,mobile,savings,debit,ATM,3,115776,DL33
2025-09-18 07:30:39,U009,S0383,banking,check_balance,ban_288,325,desktop,savings,debit,mobile_app,7,195393,MB98
2025-09-13 08:37:39,U001,S0118,banking,fund_transfer,ban_127,103,tablet,credit,debit,ATM,9,58007,MB98
2025-11-01 01:47:39,U015,S0498,banking,view_transaction,ban_121,358,tablet,credit,inquiry,mobile_app,1,126101,MB98
2025-09-20 21:37:39,U018,S0332,banking,check_balance,ban_82,257,mobile,credit,inquiry,ATM,5,95880,MB98
2025-09-29 16:57:39,U030,S0116,banking,view_transaction,ban_148,265,tablet,current,credit,ATM,3,116280,MB98
2025-09-26 01:08:39,U029,S0032,banking,inquiry,ban_15,239,mobile,current,inquiry,mobile_app,7,153964,BN12
2025-10-05 15:57:39,U015,S0359,banking,check_balance,ban_91,391,mobile,credit,debit,ATM,9,83400,BN12
2025-11-04 05:06:39,U027,S0201,banking,view_transaction,ban_72,108,tablet,current,inquiry,mobile_app,9,50065,DL33
2025-09-25 20:01:39,U026,S0170,banking,inquiry,ban_297,211,tablet,current,debit,ATM,10,8039,BN12
2025-10-27 16:36:39,U008,S0414,banking,inquiry,ban_166,117,mobile,credit,inquiry,mobile_app,4,190484,MB98
2025-10-22 20:57:39,U011,S0215,banking,inquiry,ban_10,363,tablet,savings,inquiry,ATM,1,70216,BN12
2025-11-06 15:27:39,U014,S0237,banking,fund_transfer,ban_233,322,desktop,credit,debit,net_banking,10,30291,BN12
2025-10-27 09:49:39,U002,S0412,banking,fund_transfer,ban_165,336,tablet,savings,inquiry,ATM,3,159037,DL33
2025-11-01 21:39:39,U008,S0465,banking,view_transaction,ban_135,333,tablet,savings,credit,mobile_app,7,175630,BN12
2025-10-22 01:17:39,U021,S0435,banking,view_transaction,ban_230,340,desktop,current,inquiry,mobile_app,4,83189,MB98
2025-11-06 10:11:39,U009,S0104,banking,fund_transfer,ban_232,302,desktop,current,credit,mobile_app,8,141034,MB98
2025-10-16 16:28:39,U022,S0070,banking,inquiry,ban_7,400,desktop,current,credit,mobile_app,8,104641,MB98
2025-10-01 03:39:39,U026,S0239,banking,check_balance,ban_153,173,tablet,current,debit,net_banking,9,167510,DL33
2025-10-13 02:37:39,U025,S0119,banking,check_balance,ban_170,244,mobile,savings,inquiry,net_banking,6,105215,BN12
2025-10-06 04:08:39,U005,S0108,banking,view_transaction,ban_109,317,tablet,savings,credit,ATM,2,116158,BN12
2025-09-23 05:55:39,U006,S0338,banking,fund_transfer,ban_47,125,desktop,savings,debit,net_banking,3,193204,MB98
2025-10-11 00:48:39,U026,S0374,banking,inquiry,ban_32,55,tablet,credit,inquiry,mobile_app,7,116405,DL33
2025-09-25 00:48:39,U030,S0402,banking,inquiry,ban_295,125,mobile,current,inquiry,mobile_app,1,131705,MB98
2025-09-18 12:53:39,U002,S0298,banking,check_balance,ban_219,139,mobile,savings,debit,ATM,8,50124,MB98
2025-09-25 13:18:39,U010,S0208,banking,fund_transfer,ban_47,124,mobile,current,credit,ATM,6,24787,MB98
2025-11-09 17:24:39,U001,S0063,banking,inquiry,ban_267,150,tablet,credit,debit,ATM,9,87268,BN12
2025-10-22 09:18:39,U013,S0098,banking,check_balance,ban_141,213,mobile,savings,credit,net_banking,2,74457,BN12
2025-10-21 04:19:39,U024,S0232,banking,check_balance,ban_18,349,desktop,current,debit,ATM,2,36441,MB98
2025-09-20 10:15:39,U007,S0047,banking,fund_transfer,ban_276,275,tablet,current,inquiry,mobile_app,3,52002,BN12
2025-09-30 06:26:39,U029,S0456,banking,view_transaction,ban_120,111,tablet,savings,inquiry,ATM,5,199053,DL33
2025-10-30 08:06:39,U019,S0380,banking,inquiry,ban_251,236,tablet,savings,debit,mobile_app,5,22939,MB98
2025-10-16 11:11:39,U018,S0046,banking,view_transaction,ban_252,293,mobile,current,credit,net_banking,8,94602,BN12
2025-10-11 12:18:39,U018,S0277,banking,check_balance,ban_8,386,desktop,current,credit,mobile_app,6,18782,MB98
2025-11-02 04:45:39,U013,S0160,banking,check_balance,ban_7,355,desktop,credit,credit,net_banking,6,78595,BN12
2025-11-11 08:15:39,U023,S0286,banking,inquiry,ban_167,261,desktop,credit,inquiry,ATM,1,41700,BN12
2025-10-03 09:34:39,U015,S0070,banking,inquiry,ban_93,118,mobile,current,credit,ATM,8,3861,BN12
2025-09-25 18:12:39,U007,S0199,banking,fund_transfer,ban_233,68,tablet,credit,credit,mobile_app,4,161106,MB98
2025-11-11 01:04:39,U016,S0080,banking,fund_transfer,ban_163,168,desktop,current,debit,ATM,10,176659,DL33
2025-10-09 09:54:39,U011,S0222,banking,view_transaction,ban_223,179,mobile,current,credit,net_banking,6,4710,MB98
2025-09-25 08:57:39,U011,S0060,banking,check_balance,ban_119,308,tablet,savings,debit,ATM,8,165741,DL33
2025-10-30 07:06:39,U029,S0187,banking,view_transaction,ban_243,111,tablet,credit,inquiry,net_banking,8,154617,BN12
2025-11-07 08:29:39,U002,S0001,banking,view_transaction,ban_18,275,tablet,savings,debit,mobile_app,7,14997,DL33
2025-10-26 16:03:39,U017,S0313,banking,view_transaction,ban_136,185,desktop,savings,debit,ATM,2,179457,DL33
2025-10-29 02:24:39,U010,S0246,banking,check_balance,ban_246,168,desktop,credit,inquiry,net_banking,2,28075,MB98
2025-11-04 22:55:39,U007,S0029,banking,fund_transfer,ban_57,140,mobile,savings,inquiry,mobile_app,3,92371,DL33
2025-10-27 23:54:39,U006,S0043,banking,fund_transfer,ban_61,231,tablet,savings,credit,ATM,8,192876,MB98
2025-10-20 04:30:39,U007,S0333,banking,view_transaction,ban_160,148,tablet,current,credit,ATM,10,129766,MB98
2025-10-20 05:34:39,U018,S0395,banking,view_transaction,ban_165,395,desktop,savings,credit,mobile_app,7,129380,BN12
2025-10-02 18:33:39,U023,S0187,banking,inquiry,ban_290,347,mobile,credit,credit,ATM,3,104976,MB98
2025-09-25 06:55:39,U003,S0074,banking,fund_transfer,ban_105,197,mobile,savings,credit,ATM,8,122323,BN12
2025-10-31 08:17:39,U029,S0066,banking,fund_transfer,ban_296,54,desktop,current,credit,ATM,1,140816,MB98
2025-09-14 15:09:39,U026,S0163,banking,fund_transfer,ban_11,284,desktop,savings,inquiry,mobile_app,9,77954,BN12
2025-10-24 22:37:39,U013,S0148,banking,inquiry,ban_72,118,mobile,savings,debit,ATM,7,111506,BN12
2025-10-02 21:27:39,U005,S0031,banking,fund_transfer,ban_86,375,mobile,current,credit,net_banking,3,105162,MB98
2025-09-15 17:10:39,U004,S0211,banking,view_transaction,ban_143,114,mobile,credit,credit,mobile_app,7,35674,DL33
2025-11-02 05:53:39,U017,S0081,banking,fund_transfer,ban_284,201,mobile,credit,credit,mobile_app,4,122494,MB98
2025-10-29 13:37:39,U002,S0236,banking,inquiry,ban_213,340,mobile,credit,debit,net_banking,7,77850,BN12
2025-10-02 19:02:39,U014,S0123,banking,check_balance,ban_299,245,desktop,credit,debit,net_banking,4,49022,DL33
2025-10-11 19:17:39,U015,S0044,banking,fund_transfer,ban_163,62,desktop,credit,inquiry,ATM,9,161290,DL33
2025-11-14 00:44:39,U006,S0040,banking,view_transaction,ban_287,348,tablet,credit,inquiry,mobile_app,6,190844,MB98
2025-10-04 08:09:39,U001,S0079,banking,view_transaction,ban_227,334,desktop,credit,debit,mobile_app,1,154822,MB98
2025-10-09 15:02:39,U002,S0051,banking,fund_transfer,ban_24,241,tablet,credit,inquiry,mobile_app,5,42026,MB98
2025-09-20 09:32:39,U014,S0173,banking,fund_transfer,ban_254,218,mobile,credit,debit,mobile_app,9,9975,DL33
2025-10-23 11:33:39,U013,S0436,banking,fund_transfer,ban_24,347,desktop,credit,inquiry,net_banking,5,15794,MB98
2025-11-02 06:37:39,U028,S0273,banking,fund_transfer,ban_16,52,tablet,savings,inquiry,ATM,7,46719,DL33
2025-10-15 16:04:39,U008,S0208,banking,view_transaction,ban_226,220,tablet,current,inquiry,mobile_app,8,119928,DL33
2025-10-10 18:04:39,U018,S0353,banking,inquiry,ban_129,388,mobile,current,debit,ATM,1,66719,BN12
2025-10-11 10:13:39,U009,S0033,banking,view_transaction,ban_166,264,mobile,credit,inquiry,ATM,5,52071,DL33
2025-10-08 09:28:39,U011,S0349,banking,view_transaction,ban_74,189,mobile,current,credit,mobile_app,5,133804,DL33
2025-10-24 12:21:39,U017,S0251,banking,fund_transfer,ban_288,163,mobile,credit,debit,mobile_app,2,189472,DL33
2025-11-06 07:56:39,U027,S0370,banking,view_transaction,ban_285,146,desktop,credit,credit,ATM,7,88524,MB98
2025-10-12 14:41:39,U018,S0345,banking,check_balance,ban_170,235,tablet,current,inquiry,ATM,9,112503,DL33
2025-10-18 18:34:39,U030,S0386,banking,check_balance,ban_245,326,desktop,current,debit,ATM,3,166897,MB98
2025-10-14 12:50:39,U019,S0283,banking,view_transaction,ban_198,208,desktop,credit,debit,net_banking,6,107469,MB98
2025-10-21 20:42:39,U022,S0388,banking,check_balance,ban_245,282,desktop,current,credit,net_banking,8,125416,MB98
2025-09-17 16:30:39,U005,S0332,banking,view_transaction,ban_174,302,mobile,credit,debit,net_banking,8,135321,BN12
2025-10-20 06:23:39,U009,S0444,banking,inquiry,ban_236,64,mobile,credit,credit,net_banking,6,163293,MB98
2025-10-05 11:38:39,U002,S0287,banking,check_balance,ban_220,285,tablet,credit,inquiry,mobile_app,9,32538,DL33
2025-10-04 03:39:39,U013,S0475,banking,inquiry,ban_149,380,mobile,current,inquiry,net_banking,7,135993,DL33
2025-10-22 15:19:39,U008,S0462,banking,inquiry,ban_50,323,mobile,credit,inquiry,net_banking,4,54311,BN12
2025-11-14 07:17:39,U001,S0302,banking,inquiry,ban_141,134,desktop,credit,debit,net_banking,2,191321,MB98
2025-10-25 22:01:39,U023,S0235,banking,view_transaction,ban_149,185,mobile,current,inquiry,ATM,6,111607,BN12
2025-10-27 02:38:39,U029,S0474,banking,inquiry,ban_28,52,mobile,savings,inquiry,mobile_app,6,145221,MB98
2025-10-24 00:34:39,U012,S0181,banking,inquiry,ban_103,397,mobile,current,inquiry,net_banking,5,88237,BN12
2025-10-02 10:39:39,U023,S0186,banking,fund_transfer,ban_119,249,tablet,current,inquiry,ATM,3,35861,DL33
2025-11-12 11:16:39,U027,S0116,banking,fund_transfer,ban_258,345,desktop,current,inquiry,net_banking,5,178627,BN12
2025-11-11 13:41:39,U002,S0277,banking,check_balance,ban_279,41,tablet,current,inquiry,ATM,10,117050,MB98
2025-10-25 08:44:39,U014,S0380,banking,view_transaction,ban_275,105,mobile,current,credit,mobile_app,9,86699,BN12
2025-09-30 02:49:39,U024,S0052,banking,inquiry,ban_248,93,tablet,savings,credit,net_banking,3,92399,DL33
2025-10-11 23:45:39,U003,S0046,banking,check_balance,ban_228,367,mobile,credit,credit,ATM,8,168616,DL33
2025-10-13 15:04:39,U006,S0317,banking,check_balance,ban_217,339,tablet,current,credit,net_banking,4,42577,BN12
2025-09-28 19:11:39,U010,S0038,banking,view_transaction,ban_117,392,tablet,current,inquiry,mobile_app,3,135821,BN12
2025-11-13 04:35:39,U011,S0242,banking,fund_transfer,ban_226,298,tablet,savings,debit,net_banking,6,178880,MB98
2025-10-26 10:33:39,U021,S0217,banking,inquiry,ban_83,159,tablet,current,debit,ATM,9,97026,BN12
2025-11-04 03:26:39,U006,S0327,banking,check_balance,ban_252,226,desktop,current,inquiry,mobile_app,4,154693,BN12
2025-10-29 12:38:39,U012,S0020,banking,check_balance,ban_137,186,mobile,current,debit,mobile_app,3,125873,BN12
2025-11-04 01:58:39,U028,S0114,banking,inquiry,ban_40,293,desktop,savings,credit,ATM,10,186050,BN12
2025-10-25 23:19:39,U023,S0357,banking,fund_transfer,ban_189,295,tablet,current,credit,ATM,3,174218,DL33
2025-11-08 05:42:39,U012,S0358,banking,inquiry,ban_258,228,tablet,current,debit,ATM,10,84779,DL33
2025-11-05 23:49:39,U004,S0435,banking,inquiry,ban_104,345,desktop,savings,debit,net_banking,8,107047,BN12
2025-09-24 10:38:39,U018,S0194,banking,view_transaction,ban_23,128,tablet,current,credit,ATM,3,145473,BN12
2025-10-27 18:52:39,U019,S0173,banking,inquiry,ban_251,93,mobile,current,debit,ATM,3,90182,MB98
2025-10-14 02:15:39,U012,S0128,banking,view_transaction,ban_186,272,mobile,credit,debit,net_banking,1,123294,BN12
2025-11-14 08:30:39,U012,S0195,banking,view_transaction,ban_180,120,tablet,credit,debit,mobile_app,8,87793,DL33
2025-10-09 17:36:39,U004,S0446,banking,view_transaction,ban_212,323,desktop,credit,inquiry,mobile_app,9,128618,MB98
2025-10-30 15:01:39,U023,S0463,banking,check_balance,ban_272,194,desktop,credit,debit,mobile_app,2,68534,MB98
2025-10-02 21:21:39,U010,S0379,banking,view_transaction,ban_1,219,tablet,current,debit,ATM,8,36799,MB98
2025-11-14 01:08:39,U030,S0145,banking,check_balance,ban_144,330,mobile,savings,credit,net_banking,1,17126,BN12
2025-10-16 04:39:39,U003,S0495,banking,check_balance,ban_36,228,desktop,current,inquiry,mobile_app,8,115484,BN12
2025-09-30 13:31:39,U006,S0060,banking,fund_transfer,ban_53,268,mobile,savings,debit,net_banking,9,43566,MB98
2025-09-20 08:09:39,U024,S0039,banking,fund_transfer,ban_227,169,mobile,savings,credit,ATM,6,21630,DL33
2025-10-30 04:01:39,U005,S0343,banking,view_transaction,ban_239,54,desktop,savings,credit,mobile_app,5,160017,MB98
2025-11-03 04:06:39,U004,S0185,banking,inquiry,ban_237,230,desktop,current,credit,mobile_app,5,97291,MB98
2025-10-06 21:10:39,U007,S0060,banking,fund_transfer,ban_249,392,mobile,credit,inquiry,mobile_app,6,195214,BN12
2025-09-21 20:52:39,U029,S0260,banking,check_balance,ban_57,249,tablet,savings,credit,ATM,8,98610,MB98
2025-10-04 17:05:39,U013,S0240,banking,view_transaction,ban_225,140,desktop,current,inquiry,net_banking,9,89968,MB98
2025-10-15 16:24:39,U026,S0267,banking,view_transaction,ban_109,226,mobile,savings,debit,net_banking,7,58021,BN12
2025-10-21 15:53:39,U026,S0479,banking,inquiry,ban_271,377,desktop,credit,debit,net_banking,4,118878,DL33
2025-10-27 03:39:39,U019,S0273,banking,inquiry,ban_152,297,tablet,current,credit,mobile_app,7,83839,MB98
2025-09-27 01:40:39,U026,S0061,banking,check_balance,ban_166,306,tablet,credit,inquiry,net_banking,8,2011,BN12
2025-11-03 21:27:39,U016,S0374,banking,view_transaction,ban_43,238,desktop,credit,credit,net_banking,4,91896,DL33
2025-10-08 22:28:39,U027,S0062,banking,check_balance,ban_225,337,mobile,savings,debit,mobile_app,4,81708,DL33
2025-10-29 15:54:39,U006,S0362,banking,inquiry,ban_10,281,mobile,current,inquiry,ATM,6,22771,DL33
2025-10-24 05:05:39,U022,S0124,banking,view_transaction,ban_254,224,tablet,savings,inquiry,net_banking,1,179970,MB98
2025-10-13 06:58:39,U010,S0075,banking,inquiry,ban_220,150,mobile,current,credit,net_banking,8,99207,MB98
2025-11-08 22:56:39,U022,S0078,banking,inquiry,ban_273,279,mobile,credit,debit,net_banking,9,48880,MB98
2025-10-08 18:47:39,U024,S0328,banking,check_balance,ban_11,116,tablet,current,inquiry,net_banking,4,22174,MB98
2025-10-10 13:21:39,U008,S0275,banking,check_balance,ban_298,77,mobile,credit,debit,net_banking,4,87953,MB98
2025-10-29 07:02:39,U021,S0439,banking,view_transaction,ban_264,61,mobile,credit,inquiry,net_banking,3,174868,MB98
2025-10-23 04:29:39,U013,S0053,banking,fund_transfer,ban_299,102,tablet,current,credit,ATM,4,182247,MB98
2025-10-01 12:37:39,U016,S0280,banking,fund_transfer,ban_32,377,desktop,savings,debit,ATM,10,19186,BN12
2025-09-20 00:06:39,U010,S0167,banking,inquiry,ban_226,257,desktop,savings,credit,mobile_app,6,4851,MB98
2025-11-07 10:12:39,U015,S0374,banking,fund_transfer,ban_210,198,desktop,savings,inquiry,net_banking,3,191612,BN12
2025-11-01 10:24:39,U020,S0113,banking,fund_transfer,ban_126,397,tablet,credit,debit,ATM,3,75669,BN12
2025-10-17 09:22:39,U017,S0215,banking,view_transaction,ban_197,165,mobile,savings,debit,net_banking,2,87436,DL33
2025-11-11 13:57:39,U019,S0347,banking,check_balance,ban_211,303,desktop,credit,inquiry,net_banking,9,17114,MB98
2025-11-08 05:01:39,U007,S0330,banking,inquiry,ban_79,186,desktop,credit,inquiry,net_banking,8,100990,MB98
2025-09-26 19:04:39,U020,S0172,banking,view_transaction,ban_94,207,mobile,savings,debit,ATM,7,18539,MB98
2025-10-24 10:25:39,U006,S0335,banking,check_balance,ban_166,208,tablet,current,debit,ATM,7,130235,BN12
2025-10-18 02:20:39,U020,S0494,banking,inquiry,ban_246,184,desktop,savings,inquiry,mobile_app,5,13404,BN12
2025-09-22 17:02:39,U029,S0374,banking,view_transaction,ban_207,133,mobile,savings,credit,mobile_app,5,35160,MB98
2025-10-12 16:00:39,U005,S0076,banking,fund_transfer,ban_97,388,mobile,savings,inquiry,net_banking,8,15935,DL33
2025-09-13 10:20:39,U016,S0331,banking,check_balance,ban_279,153,tablet,savings,credit,ATM,3,5780,BN12
2025-10-24 23:02:39,U016,S0363,banking,fund_transfer,ban_139,368,desktop,current,credit,net_banking,3,89383,BN12
2025-09-20 08:40:39,U001,S0469,banking,fund_transfer,ban_236,219,mobile,savings,credit,ATM,6,92844,BN12
2025-09-19 14:33:39,U013,S0237,banking,check_balance,ban_130,58,mobile,current,credit,net_banking,7,76757,MB98
2025-10-05 09:57:39,U021,S0499,banking,view_transaction,ban_152,229,mobile,credit,credit,ATM,10,129395,DL33
2025-09-23 17:01:39,U009,S0150,banking,fund_transfer,ban_38,371,desktop,savings,inquiry,mobile_app,5,73135,MB98
2025-10-19 19:40:39,U005,S0005,banking,fund_transfer,ban_180,90,tablet,savings,credit,net_banking,2,24792,DL33
2025-11-06 09:01:39,U004,S0434,banking,check_balance,ban_79,395,desktop,savings,credit,net_banking,1,71013,MB98
2025-11-05 12:48:39,U018,S0313,banking,view_transaction,ban_88,242,mobile,credit,debit,ATM,2,28403,BN12
2025-09-25 04:16:39,U012,S0077,banking,check_balance,ban_277,85,tablet,credit,debit,net_banking,7,187290,DL33
2025-10-08 04:41:39,U012,S0025,banking,check_balance,ban_205,255,mobile,credit,debit,net_banking,5,191253,BN12
2025-11-07 01:03:39,U021,S0080,banking,fund_transfer,ban_147,380,tablet,credit,credit,mobile_app,1,2942,DL33
2025-11-08 07:00:39,U028,S0389,banking,check_balance,ban_228,79,desktop,savings,debit,net_banking,2,97076,MB98
2025-10-15 06:53:39,U025,S0349,banking,check_balance,ban_197,66,desktop,current,inquiry,net_banking,2,186897,MB98
2025-10-26 16:52:39,U019,S0238,banking,view_transaction,ban_145,141,mobile,credit,credit,mobile_app,7,13554,MB98
2025-10-21 07:07:39,U028,S0239,banking,inquiry,ban_186,344,mobile,savings,inquiry,net_banking,2,94391,MB98
2025-10-19 04:37:39,U021,S0169,banking,fund_transfer,ban_72,205,desktop,current,debit,ATM,2,50331,BN12
2025-11-10 20:47:39,U004,S0431,banking,check_balance,ban_239,361,desktop,savings,credit,net_banking,3,8401,MB98
2025-10-31 01:53:39,U010,S0161,banking,fund_transfer,ban_83,53,desktop,savings,debit,mobile_app,5,16207,MB98
2025-10-07 22:19:39,U010,S0155,banking,inquiry,ban_56,302,mobile,savings,inquiry,net_banking,10,128351,MB98
2025-10-19 18:00:39,U027,S0451,banking,inquiry,ban_262,222,mobile,current,inquiry,net_banking,5,151320,DL33
2025-10-22 23:06:39,U002,S0343,banking,fund_transfer,ban_147,93,desktop,credit,debit,mobile_app,5,107647,DL33
2025-10-18 20:56:39,U008,S0455,banking,check_balance,ban_83,369,tablet,savings,credit,ATM,9,33224,MB98
2025-11-12 11:55:39,U009,S0431,banking,inquiry,ban_290,246,desktop,credit,inquiry,mobile_app,4,47070,DL33
2025-11-10 05:34:39,U016,S0409,banking,view_transaction,ban_29,77,tablet,credit,inquiry,mobile_app,9,182770,DL33
2025-09-26 17:43:39,U019,S0261,banking,view_transaction,ban_191,247,desktop,credit,debit,net_banking,2,26046,BN12
2025-09-16 15:44:39,U004,S0292,banking,check_balance,ban_141,79,tablet,credit,debit,ATM,5,84607,DL33
2025-10-06 04:56:39,U001,S0384,banking,inquiry,ban_69,147,desktop,savings,inquiry,ATM,8,21416,BN12
2025-11-12 00:39:39,U020,S0075,banking,fund_transfer,ban_208,54,mobile,savings,credit,net_banking,10,115287,BN12
2025-10-05 21:29:39,U003,S0284,banking,check_balance,ban_145,398,tablet,savings,inquiry,mobile_app,5,174519,BN12
2025-09-28 21:34:39,U009,S0259,banking,fund_transfer,ban_185,339,tablet,current,inquiry,net_banking,1,62643,BN12
